"","ia_1ad","ia_2ad","ia_3ad","ia_4ad","ia_5ad","ia_6ad","ia_7men","ia_8men","ia_9men","ia_10men","ia_11men","ia_12men","plb_m","tot_integ"
"263",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"264",1,1,1,1,0,0,0,0,0,0,0,0,1,6
"265",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"266",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"267",0,0,0,0,0,0,0,0,0,0,0,0,1,7
"268",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"269",1,0,0,0,0,0,1,0,0,0,0,0,0,4
"270",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"271",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"272",1,0,0,0,0,0,0,0,0,0,0,0,0,3
"273",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"274",0,0,0,0,0,0,0,0,0,0,0,0,0,7
"275",1,0,0,0,0,0,0,0,0,0,0,0,1,4
"276",1,0,0,0,0,0,0,0,0,0,0,0,0,4
"277",1,0,0,1,0,0,0,1,1,1,0,0,1,4
"278",1,1,1,0,1,1,1,1,1,0,0,0,1,8
"279",0,0,0,0,0,0,1,1,0,0,0,0,0,4
"280",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"281",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"282",1,0,1,0,0,0,1,0,1,0,0,0,0,10
"283",1,0,1,1,0,0,1,0,0,0,0,0,1,5
"284",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"285",1,0,0,0,0,0,1,0,0,0,0,0,0,4
"286",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"287",0,0,0,0,0,0,0,0,0,0,0,0,0,8
"288",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"289",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"290",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"291",1,0,0,0,0,0,1,0,1,0,0,0,1,9
"292",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"293",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"294",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"295",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"296",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"297",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"298",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"299",1,0,0,1,0,0,1,0,1,0,0,0,0,4
"300",1,1,1,0,0,0,0,0,0,0,0,0,0,4
"301",1,0,1,0,0,1,0,0,0,0,0,0,1,6
"302",0,0,0,0,0,0,0,0,0,0,0,0,0,7
"303",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"304",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"305",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"306",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"307",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"308",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"309",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"310",0,0,0,0,0,0,0,0,0,0,0,0,0,9
"311",0,0,0,0,0,0,0,0,0,0,0,0,1,8
"312",0,0,0,0,0,0,0,0,0,0,0,0,1,7
"313",1,0,1,1,1,0,1,1,1,0,1,0,1,8
"314",0,0,0,0,0,0,0,0,0,0,0,0,1,3
"315",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"316",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"317",0,0,0,0,0,0,0,0,0,0,0,0,1,2
"318",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"319",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"320",0,0,1,0,0,0,0,0,0,0,0,0,0,5
"321",1,1,1,1,1,1,1,1,1,1,1,1,1,11
"322",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"323",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"324",1,0,0,0,0,0,0,0,0,0,0,0,0,6
"325",0,0,0,0,0,0,0,0,0,0,0,0,1,8
"326",0,0,0,0,0,0,0,0,0,0,0,0,0,8
"327",1,1,1,1,0,0,0,0,0,0,0,0,1,5
"328",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"329",1,1,1,1,1,1,1,1,1,1,1,1,1,12
"330",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"331",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"332",1,0,0,0,0,0,0,0,0,0,0,0,0,9
"333",1,1,1,0,1,0,1,1,1,0,0,0,1,4
"334",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"335",1,0,1,0,0,0,1,0,1,0,0,0,1,5
"336",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"337",1,0,0,0,0,0,1,0,0,0,0,0,1,4
"338",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"339",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"340",1,0,0,0,0,0,0,0,0,0,0,0,0,3
"341",0,0,0,0,0,0,0,0,0,0,0,0,1,4
"342",1,1,1,1,1,1,0,0,0,0,0,0,1,5
"343",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"344",0,0,0,0,0,0,0,0,0,0,0,0,1,5
"345",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"346",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"347",0,0,0,0,0,0,0,0,0,0,0,0,1,8
"348",1,0,0,1,0,1,0,0,0,0,0,0,1,4
"349",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"350",1,1,1,1,1,1,1,1,1,1,1,1,1,3
"351",0,0,1,0,0,0,0,0,0,0,0,0,1,5
"352",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"353",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"354",1,1,1,1,1,1,1,1,1,1,1,1,1,7
"355",1,0,1,0,0,0,1,0,0,0,0,0,0,5
"356",0,0,1,0,0,1,0,0,0,0,0,0,0,5
"357",1,0,0,0,0,0,1,0,0,0,0,0,0,3
"358",1,0,1,0,0,1,0,0,0,0,0,0,0,5
"359",0,0,0,0,0,0,0,0,0,0,0,0,1,4
"360",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"361",1,0,0,0,0,0,0,0,0,0,0,0,0,4
"362",1,0,1,1,1,1,1,1,1,1,0,1,0,3
"363",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"364",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"365",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"366",0,0,0,0,0,0,0,0,0,0,0,0,0,8
"367",0,0,0,0,0,0,0,0,0,0,0,0,0,7
"368",0,0,1,0,0,0,0,0,0,0,0,0,0,4
"369",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"370",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"371",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"372",0,0,0,0,0,0,0,0,0,0,0,0,1,5
"373",1,0,0,0,0,0,0,0,0,0,0,0,0,7
"374",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"375",0,0,0,0,0,0,0,1,1,0,0,0,0,9
"376",1,1,1,0,1,1,0,0,0,0,0,0,1,5
"377",1,1,0,0,0,0,1,0,0,0,0,0,0,4
"378",1,1,1,1,1,1,1,1,1,1,1,1,1,5
"379",1,0,0,1,0,0,1,0,0,0,0,0,1,5
"380",1,0,0,0,1,0,1,1,1,0,0,0,1,5
"381",1,0,1,1,1,1,1,1,1,1,1,1,0,5
"382",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"383",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"384",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"385",1,1,1,1,1,0,1,1,1,1,0,1,0,5
"386",1,1,1,1,1,1,1,1,1,1,1,1,1,3
"387",1,0,1,1,0,0,1,1,1,0,1,0,0,7
"388",0,0,0,0,0,0,0,0,0,0,0,0,1,6
"389",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"390",1,0,1,0,0,0,1,1,0,0,0,0,1,2
"391",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"392",1,0,0,0,0,0,0,0,0,0,0,0,0,4
"393",1,0,1,0,0,0,1,0,0,0,0,0,0,4
"394",0,0,0,1,0,0,0,0,0,0,0,0,0,3
"395",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"396",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"397",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"398",0,0,0,0,0,0,1,0,0,0,0,0,1,6
"399",0,0,0,1,0,0,0,0,0,0,0,0,0,4
"400",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"401",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"402",1,0,1,1,0,0,1,1,1,1,0,0,1,4
"403",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"404",0,0,0,0,0,0,0,0,0,0,0,0,1,8
"405",1,0,1,0,0,0,0,0,0,0,0,0,0,4
"406",1,1,1,0,1,0,1,0,0,0,0,0,1,3
"407",0,0,0,0,0,0,0,0,0,0,0,0,0,7
"408",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"409",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"410",1,1,1,1,1,1,1,1,1,0,0,0,0,2
"411",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"412",1,1,0,0,1,0,1,1,1,1,1,1,0,7
"413",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"414",0,1,1,1,1,1,1,1,0,0,0,0,0,3
"415",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"416",1,0,0,0,0,0,1,1,1,0,0,0,1,2
"417",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"418",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"419",0,0,0,0,0,0,0,0,0,0,0,0,1,4
"420",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"421",0,0,0,0,0,0,0,0,0,0,0,0,1,7
"422",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"423",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"424",1,0,0,0,0,1,1,1,1,0,0,1,1,8
"425",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"426",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"427",1,1,1,1,1,1,1,1,1,1,1,1,0,5
"428",1,0,1,0,0,0,0,0,1,0,1,0,1,5
"429",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"430",1,0,0,0,0,0,0,0,0,0,0,0,1,6
"431",0,0,1,0,0,0,0,0,1,0,0,0,0,6
"432",1,1,1,1,1,0,1,0,0,0,0,0,0,4
"433",1,1,1,0,1,1,1,1,1,0,0,0,0,5
"434",0,0,0,0,0,0,0,0,0,0,0,0,1,3
"435",0,0,0,0,0,0,0,0,0,0,0,0,0,7
"436",0,0,0,0,0,0,1,0,0,0,0,0,0,5
"437",0,1,1,1,0,1,0,0,0,0,0,0,0,7
"438",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"439",1,1,1,1,1,1,1,1,1,1,1,1,1,5
"440",0,1,1,0,0,1,1,1,0,0,0,0,0,5
"441",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"442",0,0,0,0,0,0,0,0,0,0,0,0,1,8
